First Name,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Salary,Last % Hike,Zip
Lizeth,Mccoll,F,lizeth.mccoll@ibm.com,7/5/1973,1/7/1995,147446,14%,44601
Argentina,Hern,F,argentina.hern@ntlworld.com,10/15/1962,4/1/1986,129174,8%,20411
Damian,Patillo,M,damian.patillo@outlook.com,3/11/1975,12/16/2004,158746,8%,93607
Imogene,Hagopian,F,imogene.hagopian@gmail.com,2/19/1995,6/8/2017,55761,14%,77806
Walker,Wallach,M,walker.wallach@aol.com,8/5/1992,2/28/2020,197519,24%,71461
Jesusita,Hollie,F,jesusita.hollie@hotmail.com,10/30/1987,3/5/2015,103839,6%,90290
Fausto,Esqueda,M,fausto.esqueda@aol.com,4/23/1971,10/29/1998,60101,5%,44678
Vanda,Komar,F,vanda.komar@aol.com,9/2/1962,7/25/2018,115639,26%,44312
Destiny,Nicholson,F,destiny.nicholson@gmail.com,7/1/1995,11/22/2016,126048,19%,8401
Evie,Hamby,F,evie.hamby@gmail.com,6/22/1980,10/4/2013,193757,28%,7866
Carlton,Friedrich,M,carlton.friedrich@gmail.com,10/7/1993,10/5/2016,43826,14%,45202
Carmelo,Haynie,M,carmelo.haynie@gmail.com,3/19/1988,3/10/2015,84036,2%,48844
Bari,Troche,F,bari.troche@hotmail.com,6/12/1961,6/6/2006,182148,30%,87083
Burton,Lowry,M,burton.lowry@comcast.net,9/18/1987,10/29/2011,181592,26%,18071
Mickey,Bassham,M,mickey.bassham@gmail.com,9/29/1997,12/19/2019,131922,23%,48362
Ying,Cerrone,F,ying.cerrone@aol.com,3/19/1980,5/17/2012,184946,1%,56141
Bette,Copas,F,bette.copas@sbcglobal.net,11/12/1962,2/26/2000,103833,27%,82060
Tien,Harkey,F,tien.harkey@cox.net,9/4/1998,5/26/2020,103292,10%,93782
Loma,Chesney,F,loma.chesney@yahoo.com,5/25/1963,11/14/1989,66545,7%,36602
Ruben,Pastor,M,ruben.pastor@gmail.com,11/16/1993,11/20/2016,41892,1%,53012
Evelyn,Mclellan,F,evelyn.mclellan@bp.com,12/11/1989,9/14/2018,150529,23%,89023
Donnell,Wolff,M,donnell.wolff@bp.com,2/18/1964,9/22/1997,190587,4%,36360
Guadalupe,Ketron,M,guadalupe.ketron@yahoo.com,4/11/1993,5/18/2017,122513,19%,15312
Trenton,Roessler,M,trenton.roessler@gmail.com,11/2/1977,5/26/2005,80435,22%,49240
Fernando,Merced,M,fernando.merced@shell.com,3/1/1970,1/27/2014,95566,12%,20830
Meghann,Burtch,F,meghann.burtch@yahoo.co.in,11/15/1971,9/29/2016,53485,12%,67865
Jordan,Raine,M,jordan.raine@gmail.com,1/22/1981,2/23/2008,199796,17%,10292
Phillip,Bostic,M,phillip.bostic@charter.net,7/9/1988,1/20/2016,90660,30%,80262
Vivienne,Weikel,F,vivienne.weikel@gmail.com,8/18/1982,1/20/2017,178679,20%,19179
Keely,Engleman,F,keely.engleman@gmail.com,5/14/1993,4/27/2020,142778,23%,42024
Elida,Popa,F,elida.popa@yahoo.com,10/22/1981,7/16/2019,76017,5%,74004
Muriel,Kasper,F,muriel.kasper@bp.com,10/14/1975,4/14/2010,69687,7%,15866
Miriam,Rolfe,F,miriam.rolfe@aol.com,10/12/1965,3/17/1989,178512,25%,49450
Nestor,Gledhill,M,nestor.gledhill@shell.com,3/18/1981,4/11/2016,52538,24%,28543
Livia,Barefield,F,livia.barefield@gmail.com,8/3/1997,12/11/2019,178965,28%,98372
Renea,Talavera,F,renea.talavera@yahoo.com,4/9/1997,12/25/2018,144167,30%,29053
Edgar,Phares,M,edgar.phares@gmail.com,9/17/1970,5/5/1997,125113,30%,15264
Shelley,Matthes,F,shelley.matthes@verizon.net,7/23/1966,3/12/2001,62618,15%,25423
Valentine,Fuentez,M,valentine.fuentez@walmart.com,12/25/1996,1/16/2019,159076,19%,76888
Wesley,Downes,M,wesley.downes@yahoo.ca,1/28/1965,2/3/1988,52780,17%,37346
Suzy,Burge,F,suzy.burge@comcast.net,10/18/1985,6/12/2014,92436,20%,22404
